proj_id,proj_name,pdo,region,country_code,country_name,proj_approval_fy,asa_approval_date,task_type,proj_url,product_line_type,lending_instrument,lead_gp,ttl,agreement_type,commitment_amount,ida_cycle_approval,proj_status,product_line_name,contrib_gp,theme
P501950,Timor-Leste Institutions PASA,Strengthen accountability of institutions in Timor-Leste.,East Asia and Pacific,TLS,Democratic Republic of Timor-Leste,2025,2025-04-10T00:00:00Z,Advisory,https://opswork.worldbank.org/home/P501950,Analytic and Advisory Activities Product,NA,GOV,Shilpa Pradhan (ADM),NA,NA,Pre-IDA21,NA,NA,NA,Environmental and Social
P181237,Strengthening Public Financial Management II Project,To improve fiscal management practices and increase fiscal transparency at the National Government level.,East Asia and Pacific,FSM,Federated States of Micronesia,2025,NA,NA,https://opswork.worldbank.org/home/P181237,Lending Product,IPF,GOV,Patrick Piker Umah Tete (ADM),IDA,0,Pre-IDA21,NA,NA,NA,Environmental and Social
P510862,Enhancing Public Financial Management through Information and Communication Technology and Skills (EFITS) 2 Project,To improve efficiency and transparency of public financial management and strengthen capacity of public finance officials.,East Asia and Pacific,LAO,Lao People's Democratic Republic,2026,NA,NA,https://opswork.worldbank.org/home/P510862,Lending Product,IPF,GOV,Tessa Clare Cullen (ADM),IDA,NA,IDA21,NA,NA,NA,Environmental and Social
P510280,Strengthening Public Financial Management II Project,"To improve timeliness and transparency of budget execution and financial reporting by the Ministry of Finance, Banking and Postal Services.",East Asia and Pacific,MHL,Republic of the Marshall Islands,2026,NA,NA,https://opswork.worldbank.org/home/P510280,Lending Product,IPF,GOV,Patrick Piker Umah Tete (ADM),IDA,NA,IDA21,NA,NA,NA,Environmental and Social
P179405,Ethiopia Governance Advisory and Technical Support,"23.  The development objective of this ASA is to support the GoE?s endeavors toward more capable and sustainable institutions for better service delivery, transparency, and accountability. 24. The proposed analytical products will help to inform planned WB operations. The WB is currently in the project preparation phase of a new governance operation to support governance modernization to enable fiscal sustainability and improved service delivery (P178808). Proposed diagnostic work under Pillar 1 is a continuation of ongoing support under the MDTF of the adoption of IFRs in Ethiopia for greater transparency and accountability, and of the development and implementation of an effective PIM for better outcome and fiscal sustainability. Additional diagnostics in the areas of civil service and digital governance will serve as an analytical foundation for the operation under preparation. Proposed diagnostic and TA work under Pillar 2 is closely aligned with forthcoming work on the development of Ethiopia?s Country Climate and Development Report (P179525), and in the case of the Governance GP, development of early tools to track CC related budgets, and reporting and to embed CC consideration in PIM reforms underway.",Eastern and Southern Africa,ETH,Federal Democratic Republic of Ethiopia,2023,2022-12-21T00:00:00Z,Advisory,https://opswork.worldbank.org/home/P179405,Analytic and Advisory Activities Product,NA,GOV,Rajul Awasthi (ADM),NA,NA,Pre-IDA21,NA,NA,NA,Environmental and Social
P177900,Additional Financing for Somalia Recurrent Cost & Reform Financing Project - Phase III,"To support the Federal Government of Somalia and Eligible Federal Member States to strengthen resource management systems, the inter-governmental fiscal framework, and service delivery systems in health and education.",Eastern and Southern Africa,SOM,Federal Republic of Somalia,2022,NA,NA,https://opswork.worldbank.org/home/P177900,Lending Product,IPF,GOV,Kandi Magendo (ADM),IDA,62000000,Pre-IDA21,NA,NA,NA,Environmental and Social
P181407,Second Additional Financing for Somalia Recurrent Cost and Reform Financing Phase III,"To support the Federal Government of Somalia and Eligible Federal Member States to strengthen resource management systems, the inter-governmental fiscal framework, and service delivery systems in health and education.",Eastern and Southern Africa,SOM,Federal Republic of Somalia,2024,NA,NA,https://opswork.worldbank.org/home/P181407,Lending Product,IPF,GOV,Kandi Magendo (ADM),IDA,0,Pre-IDA21,NA,NA,NA,Environmental and Social
P174171,Lesotho Public Sector Foundations for Service Delivery Project,To strengthen expenditure controls  and increase the efficiency of selected administrative services.,Eastern and Southern Africa,LSO,Kingdom of Lesotho,2024,NA,NA,https://opswork.worldbank.org/home/P174171,Lending Product,IPF,GOV,Runyararo Gladys Senderayi (ADM),IDA,20000000,Pre-IDA21,NA,NA,NA,Environmental and Social
P179680,Kenya Governance and Green Economy Support Programmatic ASA,Enhance public sector performance and accountability and facilitate the transition to a green economy through targeted technical assistance and policy dialogue support,Eastern and Southern Africa,KEN,Republic of Kenya,2023,2023-02-17T00:00:00Z,Advisory,https://opswork.worldbank.org/home/P179680,Analytic and Advisory Activities Product,NA,GOV,Onur Erdem (ADM),NA,NA,Pre-IDA21,NA,NA,NA,Environmental and Social
P180935,Second Kenya Devolution Support Program,"To strengthen county performance in the financing, management, coordination, and accountability for resources",Eastern and Southern Africa,KEN,Republic of Kenya,2024,NA,NA,https://opswork.worldbank.org/home/P180935,Lending Product,PforR,GOV,Christine Anyango Owuor (ADM),IDA,150000000,Pre-IDA21,NA,NA,NA,Environmental and Social
