proj_id,proj_name,pdo,region,country_code,country_name,proj_approval_fy,asa_approval_date,task_type,proj_url,product_line_type,lending_instrument,lead_gp,ttl,agreement_type,commitment_amount,ida_cycle_approval,theme
P179015,Lao PDR Third Programmatic Public Financial Management Reform Program,"The development objective is to provide technical assistance and advisory services to the Government of Lao PDR to improve public expenditure and revenue management, public procurement and human resources management.",East Asia and Pacific,LAO,Lao People's Democratic Republic,2023,2022-10-20T00:00:00Z,Advisory,https://opswork.worldbank.org/home/P179015,Analytic and Advisory Activities Product,NA,GOV,Tessa Clare Cullen (ADM),NA,NA,Pre-IDA21,Public Administration
P179405,Ethiopia Governance Advisory and Technical Support,"23.  The development objective of this ASA is to support the GoE?s endeavors toward more capable and sustainable institutions for better service delivery, transparency, and accountability. 24. The proposed analytical products will help to inform planned WB operations. The WB is currently in the project preparation phase of a new governance operation to support governance modernization to enable fiscal sustainability and improved service delivery (P178808). Proposed diagnostic work under Pillar 1 is a continuation of ongoing support under the MDTF of the adoption of IFRs in Ethiopia for greater transparency and accountability, and of the development and implementation of an effective PIM for better outcome and fiscal sustainability. Additional diagnostics in the areas of civil service and digital governance will serve as an analytical foundation for the operation under preparation. Proposed diagnostic and TA work under Pillar 2 is closely aligned with forthcoming work on the development of Ethiopia?s Country Climate and Development Report (P179525), and in the case of the Governance GP, development of early tools to track CC related budgets, and reporting and to embed CC consideration in PIM reforms underway.",Eastern and Southern Africa,ETH,Federal Democratic Republic of Ethiopia,2023,2022-12-21T00:00:00Z,Advisory,https://opswork.worldbank.org/home/P179405,Analytic and Advisory Activities Product,NA,GOV,Rajul Awasthi (ADM),NA,NA,Pre-IDA21,Public Administration
P173731,Somalia Recurrent Cost & Reform Financing Project - Phase 3,"To support the Federal Government of Somalia and Eligible Federal Member States to strengthen resource management systems, the inter-governmental fiscal framework, and service delivery systems in health and education.",Eastern and Southern Africa,SOM,Federal Republic of Somalia,2020,NA,NA,https://opswork.worldbank.org/home/P173731,Lending Product,IPF,GOV,Kandi Magendo (ADM),IDA,135000000,Pre-IDA21,Public Administration
P177900,Additional Financing for Somalia Recurrent Cost & Reform Financing Project - Phase III,"To support the Federal Government of Somalia and Eligible Federal Member States to strengthen resource management systems, the inter-governmental fiscal framework, and service delivery systems in health and education.",Eastern and Southern Africa,SOM,Federal Republic of Somalia,2022,NA,NA,https://opswork.worldbank.org/home/P177900,Lending Product,IPF,GOV,Kandi Magendo (ADM),IDA,62000000,Pre-IDA21,Public Administration
P180586,Somalia Enhanced Procurement Risk Management,"The Development Objective is to provide enhanced procurement risk mitigation measures aimed at addressing existing/evolving risk in the Somalia portfolio, and to support strengthening of the country public procurement and risk management capacities.",Eastern and Southern Africa,SOM,Federal Republic of Somalia,2023,2023-02-07T00:00:00Z,Advisory,https://opswork.worldbank.org/home/P180586,Analytic and Advisory Activities Product,NA,GOV,Francis Akolu Muthuiya (ADM),NA,NA,Pre-IDA21,Public Administration
P181407,Second Additional Financing for Somalia Recurrent Cost and Reform Financing Phase III,"To support the Federal Government of Somalia and Eligible Federal Member States to strengthen resource management systems, the inter-governmental fiscal framework, and service delivery systems in health and education.",Eastern and Southern Africa,SOM,Federal Republic of Somalia,2024,NA,NA,https://opswork.worldbank.org/home/P181407,Lending Product,IPF,GOV,Kandi Magendo (ADM),IDA,0,Pre-IDA21,Public Administration
P174171,Lesotho Public Sector Foundations for Service Delivery Project,To strengthen expenditure controls  and increase the efficiency of selected administrative services.,Eastern and Southern Africa,LSO,Kingdom of Lesotho,2024,NA,NA,https://opswork.worldbank.org/home/P174171,Lending Product,IPF,GOV,Runyararo Gladys Senderayi (ADM),IDA,20000000,Pre-IDA21,Public Administration
P179680,Kenya Governance and Green Economy Support Programmatic ASA,Enhance public sector performance and accountability and facilitate the transition to a green economy through targeted technical assistance and policy dialogue support,Eastern and Southern Africa,KEN,Republic of Kenya,2023,2023-02-17T00:00:00Z,Advisory,https://opswork.worldbank.org/home/P179680,Analytic and Advisory Activities Product,NA,GOV,Onur Erdem (ADM),NA,NA,Pre-IDA21,Public Administration
P180935,Second Kenya Devolution Support Program,"To strengthen county performance in the financing, management, coordination, and accountability for resources",Eastern and Southern Africa,KEN,Republic of Kenya,2024,NA,NA,https://opswork.worldbank.org/home/P180935,Lending Product,PforR,GOV,Christine Anyango Owuor (ADM),IDA,150000000,Pre-IDA21,Public Administration
P180287,Second Program for Strengthening Governance for Enabling Service Delivery and Public Investment in Kenya,"To enhance public sector efficiency, accountability, and transparency through improving revenue systems, spending controls, public sector effectiveness, and oversight.",Eastern and Southern Africa,KEN,Republic of Kenya,2024,NA,NA,https://opswork.worldbank.org/home/P180287,Lending Product,PforR,GOV,Onur Erdem (ADM),IDA,200000000,Pre-IDA21,Public Administration
P164961,Malawi Governance to Enable Service Delivery Project,"The objective of the Project is to: (i) strengthen Local Authorities? institutional performance, responsiveness to citizens and management of resources for service delivery; and (ii) in case of an Eligible Crisis or Emergency, respond promptly and effectively to it.",Eastern and Southern Africa,MWI,Republic of Malawi,2020,NA,NA,https://opswork.worldbank.org/home/P164961,Lending Product,IPF,GOV,Eva Maria Melis (ADM),IDA,100000000,Pre-IDA21,Public Administration
P500797,Rwanda Governance and Decentralization Support PASA,NA,Eastern and Southern Africa,RWA,Republic of Rwanda,2024,2024-01-29T00:00:00Z,Advisory,https://opswork.worldbank.org/home/P500797,Analytic and Advisory Activities Product,NA,GOV,Meron Tadesse Techane (ADM),NA,NA,Pre-IDA21,Public Administration
P176761,Public Financial Management and Institutional Strengthening Project,To improve and build capacity for budget preparation and implementation.,Eastern and Southern Africa,SSD,Republic of South Sudan,2022,NA,NA,https://opswork.worldbank.org/home/P176761,Lending Product,IPF,GOV,David Santos Ruano (ADM),IDA,34000000,Pre-IDA21,Public Administration
P180797,South Sudan Programmatic Governance and Public Financial Management Technical Assistance,This programmatic advisory and analytical intervention aims to support the government in implementing effective governance and public financial management reforms needed to foster longer-term stability and prosperity.,Eastern and Southern Africa,SSD,Republic of South Sudan,2024,2023-10-12T00:00:00Z,Analytical,https://opswork.worldbank.org/home/P180797,Analytic and Advisory Activities Product,NA,GOV,David Santos Ruano (ADM),NA,NA,Pre-IDA21,Public Administration
P178492,Zambia Devolution Support Program,"To strengthen the financing, institutional performance and accountability of local authorities in Zambia.",Eastern and Southern Africa,ZMB,Republic of Zambia,2022,NA,NA,https://opswork.worldbank.org/home/P178492,Lending Product,PforR,GOV,Donna Andrews (ADM),IDA,210000000,Pre-IDA21,Public Administration
P180722,Public Finance Management and Procurement Systems for Service Delivery Program,NA,Eastern and Southern Africa,TZA,United Republic of Tanzania,2024,NA,NA,https://opswork.worldbank.org/home/P180722,Lending Product,PforR,GOV,Paul Welton (ADM),IDA,0,Pre-IDA21,Public Administration
P150381,Public Finance Management Modernization Project 2,"<p>The development objective of the project is to improve effectiveness, control and accountability of public expenditure of the Republic of Tajikistan.</p>",Europe and Central Asia,TJK,Republic of Tajikistan,2015,NA,NA,https://opswork.worldbank.org/home/P150381,Lending Product,IPF,GOV,Hassan Aliev (ADM),IDA,25664800,Pre-IDA21,Public Administration
P172924,Additional Financing for Public Finance Management Modernization Project 2,"<p>The development objective of the project is to improve effectiveness, control and accountability of public expenditure of the Republic of Tajikistan.</p>",Europe and Central Asia,TJK,Republic of Tajikistan,2021,NA,NA,https://opswork.worldbank.org/home/P172924,Lending Product,IPF,GOV,Hassan Aliev (ADM),IDA,6000000,Pre-IDA21,Public Administration
P173001,Tax Administration Reform Project in Uzbekistan,The development objective is to improve the operational efficiency and effectiveness of the State Tax Committee (STC) and increase voluntary compliance.,Europe and Central Asia,UZB,Republic of Uzbekistan,2021,NA,NA,https://opswork.worldbank.org/home/P173001,Lending Product,IPF,GOV,Jan Loeprick (ADM),IDA,60000000,Pre-IDA21,Public Administration
P171417,Punjab Resource Improvement and Digital Effectiveness,"To increase own source revenue, and improve reliability of resource allocation and access to digital services for people and firms in the province of Punjab.","Middle East, North Africa, Afghanistan, and Pakistan",PAK,Islamic Republic of Pakistan,2021,NA,NA,https://opswork.worldbank.org/home/P171417,Lending Product,PforR,GOV,Akmal Minallah (ADM),IBRD,304000000,Pre-IDA21,Public Administration
