proj_id,proj_name,proj_status,pdo,proj_approval_fy,proj_url,product_line_type,product_line_name,country_code,country_name,region,lending_instrument,lead_gp,contrib_gp,ttl,agreement_type,commitment_amount,lending_category,theme_pfm,theme_procurement,theme_public_admin,theme_env_social
P177900,Additional Financing for Somalia Recurrent Cost & Reform Financing Project - Phase III,Active,"To support the Federal Government of Somalia and Eligible Federal Member States to strengthen resource management systems, the inter-governmental fiscal framework, and service delivery systems in health and education.",2022,https://opswork.worldbank.org/home/P177900,Lending Product,IBRD/IDA,SOM,Federal Republic of Somalia,Eastern and Southern Africa,IPF,GOV,EDU HNP,Kandi Magendo (ADM),IDA,62000000,IDA,TRUE,FALSE,TRUE,TRUE
P181620,Additional Financing for Malawi Governance to Enable Service Delivery,Active,"The objective of the Project is to: (i) strengthen Local Authorities? institutional performance, responsiveness to citizens and management of resources for service delivery; and (ii) in case of an Eligible Crisis or Emergency, respond promptly and effectively to it.",2024,https://opswork.worldbank.org/home/P181620,Lending Product,IBRD/IDA,MWI,Republic of Malawi,Eastern and Southern Africa,IPF,GOV,EDU HNP SPL,Eva Maria Melis (ADM),IDA,0,IDA,FALSE,FALSE,FALSE,TRUE
P181407,Second Additional Financing for Somalia Recurrent Cost and Reform Financing Phase III,Active,"To support the Federal Government of Somalia and Eligible Federal Member States to strengthen resource management systems, the inter-governmental fiscal framework, and service delivery systems in health and education.",2024,https://opswork.worldbank.org/home/P181407,Lending Product,IBRD/IDA,SOM,Federal Republic of Somalia,Eastern and Southern Africa,IPF,GOV,EDU HNP,Kandi Magendo (ADM),IDA,0,IDA,TRUE,FALSE,TRUE,TRUE
P501663,Uganda Governance Programmatic Advisory Services and Analytics,Active,NA,2026,https://opswork.worldbank.org/home/P501663,Analytic and Advisory Activities Product,Advisory Services & Analytics,UGA,Republic of Uganda,Eastern and Southern Africa,NA,GOV,ENV FCI MTI,Barbara Kasura Magezi Ndamira (ADM),NA,NA,IDA,FALSE,FALSE,FALSE,FALSE
P178492,Zambia Devolution Support Program,Active,"To strengthen the financing, institutional performance and accountability of local authorities in Zambia.",2022,https://opswork.worldbank.org/home/P178492,Lending Product,IBRD/IDA,ZMB,Republic of Zambia,Eastern and Southern Africa,PforR,GOV,NA,Donna Andrews (ADM),IDA,210000000,IDA,TRUE,FALSE,TRUE,TRUE
P500811,Malawi Governance and Accountability PASA,Active,NA,2026,https://opswork.worldbank.org/home/P500811,Analytic and Advisory Activities Product,Advisory Services & Analytics,MWI,Republic of Malawi,Eastern and Southern Africa,NA,GOV,FCI MTI,Eva Maria Melis (ADM),NA,NA,IDA,FALSE,FALSE,FALSE,FALSE
P180722,Public Finance Management and Procurement Systems for Service Delivery Program,Active,NA,2024,https://opswork.worldbank.org/home/P180722,Lending Product,IBRD/IDA,TZA,United Republic of Tanzania,Eastern and Southern Africa,PforR,GOV,NA,Paul Welton (ADM),IDA,0,IDA,TRUE,FALSE,TRUE,TRUE
P511808,Zimbabwe Institutions Advisory Support,Active,"To advance institutional reforms in Zimbabwe?s public sector by strengthening the oversight and performance of State-Owned Enterprises (SOEs), enhancing public financial management (PFM) systems, and increasing access to justice, particularly for vulnerable and marginalized litigants.",2027,https://opswork.worldbank.org/home/P511808,Analytic and Advisory Activities Product,Advisory Services & Analytics,ZWE,Republic of Zimbabwe,Eastern and Southern Africa,NA,GOV,GOV,Zohra Farooq Nooryar (ADM),NA,NA,Blend,TRUE,FALSE,FALSE,FALSE
P173178,Managing Public Resources for Service Delivery,Active,"The Project Development Objective (PDO) is to improve domestic tax management, budget execution, and transparency and accountability in the management of public resources.",2022,https://opswork.worldbank.org/home/P173178,Lending Product,IBRD/IDA,MOZ,Republic of Mozambique,Eastern and Southern Africa,IPF,GOV,MTI,Ana Cristina Hirata Barros (ADM),IDA,87000000,IDA,TRUE,FALSE,TRUE,TRUE
P501890,Tanzania Governance and Public Sector PASA,Active,NA,2026,https://opswork.worldbank.org/home/P501890,Analytic and Advisory Activities Product,Advisory Services & Analytics,TZA,United Republic of Tanzania,Eastern and Southern Africa,NA,GOV,NA,Donna Andrews (ADM),NA,NA,IDA,FALSE,FALSE,FALSE,FALSE
P179405,Ethiopia Governance Advisory and Technical Support,Active,"23.  The development objective of this ASA is to support the GoE?s endeavors toward more capable and sustainable institutions for better service delivery, transparency, and accountability. 24. The proposed analytical products will help to inform planned WB operations. The WB is currently in the project preparation phase of a new governance operation to support governance modernization to enable fiscal sustainability and improved service delivery (P178808). Proposed diagnostic work under Pillar 1 is a continuation of ongoing support under the MDTF of the adoption of IFRs in Ethiopia for greater transparency and accountability, and of the development and implementation of an effective PIM for better outcome and fiscal sustainability. Additional diagnostics in the areas of civil service and digital governance will serve as an analytical foundation for the operation under preparation. Proposed diagnostic and TA work under Pillar 2 is closely aligned with forthcoming work on the development of Ethiopia?s Country Climate and Development Report (P179525), and in the case of the Governance GP, development of early tools to track CC related budgets, and reporting and to embed CC consideration in PIM reforms underway.",2027,https://opswork.worldbank.org/home/P179405,Analytic and Advisory Activities Product,Advisory Services & Analytics,ETH,Federal Democratic Republic of Ethiopia,Eastern and Southern Africa,NA,GOV,CLC FCI MTI,Rajul Awasthi (ADM),NA,NA,IDA,TRUE,FALSE,TRUE,TRUE
P181066,Strengthening Fiscal Federalism and Municipal Finance in Ethiopia,Active,To support institutional and policy improvements to Ethiopia's intergovernmental fiscal relations,2027,https://opswork.worldbank.org/home/P181066,Analytic and Advisory Activities Product,Advisory Services & Analytics,ETH,Federal Democratic Republic of Ethiopia,Eastern and Southern Africa,NA,GOV,MTI,Rajul Awasthi (ADM),NA,NA,IDA,TRUE,FALSE,FALSE,FALSE
P500588,Zanzibar Judicial Modernization Project (Zi-JUMP),Active,"To enhance the accessibility, efficiency, and transparency of selected citizen-centric judicial services, in Zanzibar",2024,https://opswork.worldbank.org/home/P500588,Lending Product,IBRD/IDA,TZA,United Republic of Tanzania,Eastern and Southern Africa,IPF,GOV,NA,Benjamin Ndazi Mtesigwa (ADM),IDA,NA,IDA,FALSE,FALSE,FALSE,TRUE
