proj_id,proj_name,proj_status,pdo,proj_approval_fy,proj_url,product_line_type,product_line_name,country_code,country_name,region,lending_instrument,lead_gp,contrib_gp,ttl,commitment_amount,lending_category,theme_pfm,theme_procurement,theme_public_admin,theme_env_social
P506528,Human Capital Protection Project,Active,NA,2025,https://opswork.worldbank.org/home/P506528,Lending Product,IBRD/IDA,BFA,Burkina Faso,Western and Central Africa,IPF,GOV,EDU HNP MTI,Ousmane Deme (ADM),NA,IDA,FALSE,FALSE,FALSE,TRUE
P511539,Human Capital Protection Project,Active,NA,2026,https://opswork.worldbank.org/home/P506528,Lending Product,IBRD/IDA,BFA,Burkina Faso,Western and Central Africa,IPF,GOV,EDU HNP MTI,Ousmane Deme (ADM),NA,IDA,FALSE,FALSE,FALSE,TRUE
P177875,Burkina Faso Local Governance for Basic Services & Resilience Program,Active,The PDO is to improve the delivery of selected basic services and the institutional performance of target local public entities,2023,https://opswork.worldbank.org/home/P177875,Lending Product,IBRD/IDA,BFA,Burkina Faso,Western and Central Africa,PforR,GOV,EDU HNP SPL,Gabriel Dedu (ADM),150000000,IDA,FALSE,FALSE,TRUE,TRUE
P169405,"Sustainable Procurement, Environmental and Social Standards Enhancement Project (SPESSE)",Active,"The project development objective is to develop sustainable capacity in managing procurement, environment and social standards in the public and private sectors.",2020,https://opswork.worldbank.org/home/P169405,Lending Product,IBRD/IDA,NGA,Federal Republic of Nigeria,Western and Central Africa,IPF,GOV,ENV SOC,Ishtiak Siddique (ADM),80000000,Blend,FALSE,TRUE,FALSE,FALSE
P510242,"Sustainable Procurement, Environmental and Social Standards Enhancement Project (SPESSE)",Active,"The project development objective is to develop sustainable capacity in managing procurement, environment and social standards in the public and private sectors.",2025,https://opswork.worldbank.org/home/P169405,Lending Product,IBRD/IDA,NGA,Federal Republic of Nigeria,Western and Central Africa,IPF,GOV,ENV SOC,Ishtiak Siddique (ADM),80000000,Blend,FALSE,TRUE,FALSE,TRUE
P177308,NG Accelerating Resource Mobilization Reforms PforR,Active,The Program Development Objective (PDO) is to raise non oil revenues and safeguard oil and gas revenues.,2024,https://opswork.worldbank.org/home/P177308,Lending Product,IBRD/IDA,NGA,Federal Republic of Nigeria,Western and Central Africa,PforR,GOV,EAE FCI MTI,Moses Misach Kajubi (ADM),500000000,Blend,TRUE,FALSE,TRUE,TRUE
P181476,Nigeria Human Capital Opportunities for Prosperity and Equity (HOPE) - Governance,Active,To support the Federal Republic of Nigeria in strengthening financial and human resource management in basic education and primary heath care sectors.,2025,https://opswork.worldbank.org/home/P181476,Lending Product,IBRD/IDA,NGA,Federal Republic of Nigeria,Western and Central Africa,PforR,GOV,EDU HNP,Ikechukwu John Nweje (ADM),0,Blend,TRUE,FALSE,FALSE,TRUE
P506443,Mauritania Public Spending Efficiency,Active,Improve public financial management systems and accountability for enhanced efficiency of social spending,2025,https://opswork.worldbank.org/home/P506443,Lending Product,IBRD/IDA,MRT,Islamic Republic of Mauritania,Western and Central Africa,PforR,GOV,EDU HNP MTI SPL,Fatou Mbacke Dieng (ADM),NA,IDA,TRUE,TRUE,FALSE,TRUE
P176763,Benin Economic Governance for Service Delivery Program for Results,Active,The Program Development Objective is to increase the efficiency of domestic resource mobilization and public expenditure.,2023,https://opswork.worldbank.org/home/P176763,Lending Product,IBRD/IDA,BEN,Republic of Benin,Western and Central Africa,PforR,GOV,EDU HNP MTI POV,Lorena Vinuela (ADM),150000000,IDA,TRUE,FALSE,TRUE,TRUE
P505030,"Improving Performance, Accountability and Transparency in Cameroon PforR",Active,"To improve domestic revenue mobilization; and the accountability and transparency of public finances, including in selected sectors.",2025,https://opswork.worldbank.org/home/P505030,Lending Product,IBRD/IDA,CMR,Republic of Cameroon,Western and Central Africa,PforR,GOV,CLC HNP MTI WAT,Hugues Agossou (ADM),NA,Blend,TRUE,TRUE,FALSE,TRUE
P177468,Accelerating Governance Institutional Reforms for sustainable services (AGIR) in RoC,Active,"The Program Development Objective is to increase efficiency of domestic resource mobilization and expenditure management with a particular focus on health and education sectors, and to strengthen debt management",2023,https://opswork.worldbank.org/home/P177468,Lending Product,IBRD/IDA,COG,Republic of Congo,Western and Central Africa,PforR,GOV,EAE EDU HNP,Daniela V. Felcman (ADM),70000000,Blend,TRUE,FALSE,TRUE,TRUE
