country_name,Lending Product,Analytic and Advisory Activities Product
Burkina Faso,1,0
Central African Republic,1,0
Democratic Republic of Timor-Leste,0,1
Federal Democratic Republic of Ethiopia,0,2
Federal Republic of Nigeria,4,2
Federal Republic of Somalia,3,2
Federated States of Micronesia,1,0
Islamic Republic of Mauritania,1,0
Islamic Republic of Pakistan,2,3
Kingdom of Cambodia,0,2
Kingdom of Eswatini,0,1
Kingdom of Lesotho,1,0
Lao People's Democratic Republic,1,1
Nepal,0,1
Republic of Cameroon,1,0
Republic of Ghana,1,1
Republic of Guinea,0,1
Republic of Honduras,1,0
Republic of Kenya,2,1
Republic of Malawi,2,1
Republic of Niger,2,0
Republic of Rwanda,1,1
Republic of Senegal,1,0
Republic of Sierra Leone,1,0
Republic of South Sudan,2,1
Republic of Tajikistan,3,1
Republic of Togo,1,1
Republic of Uganda,1,1
Republic of Uzbekistan,1,0
Republic of Yemen,0,1
Republic of Zambia,1,1
Republic of Zimbabwe,0,1
Republic of the Marshall Islands,1,0
Syrian Arab Republic,1,1
United Republic of Tanzania,2,1
